SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,17/03/2003,,Germany,1/22/2020,1,0,0
2,17/03/2003,,Canada,1/22/2020,8,2,0
3,17/03/2003,,Singapore,1/22/2020,20,0,0
4,17/03/2003,,"Hong Kong SAR, China",1/22/2020,95,1,0
5,17/03/2003,,Switzerland,1/22/2020,2,0,0
6,17/03/2003,,Thailand,1/22/2020,1,0,0
7,17/03/2003,,Viet Nam,1/22/2020,40,1,0
8,18/03/2003,,Germany,1/22/2020,2,0,0
9,18/03/2003,,Canada,1/22/2020,8,2,0
10,18/03/2003,,China,1/22/2020,0,0,0
11,18/03/2003,,Singapore,1/22/2020,23,0,0
12,18/03/2003,,"Hong Kong SAR, China",1/22/2020,123,1,0
13,18/03/2003,,"Taiwan, China",1/22/2020,3,0,0
14,18/03/2003,,Thailand,1/22/2020,1,0,0
15,18/03/2003,,Viet Nam,1/22/2020,57,1,0
16,18/03/2003,,Slovenia,1/22/2020,1,0,0
17,18/03/2003,,United Kingdom,1/22/2020,1,0,0
18,19/03/2003,,Canada,1/22/2020,8,2,0
19,19/03/2003,,China,1/22/2020,0,0,0
20,19/03/2003,,Germany,1/22/2020,1,0,0
21,19/03/2003,,"Hong Kong SAR, China",1/22/2020,150,5,0
22,19/03/2003,,Singapore,1/22/2020,31,0,0
23,19/03/2003,,Slovenia,1/22/2020,1,0,0
24,19/03/2003,,Spain,1/22/2020,1,0,0
25,19/03/2003,,"Taiwan, China",1/22/2020,3,0,0
26,19/03/2003,,Thailand,1/22/2020,1,0,0
27,19/03/2003,,United Kingdom,1/22/2020,1,0,0
28,19/03/2003,,United States,1/22/2020,11,0,0
29,19/03/2003,,Viet Nam,1/22/2020,56,2,0
30,20/03/2003,,Canada,1/22/2020,9,2,0
31,20/03/2003,,China,1/22/2020,0,0,0
32,20/03/2003,,Germany,1/22/2020,1,0,0
33,20/03/2003,,"Hong Kong SAR, China",1/22/2020,173,6,0
34,20/03/2003,,Singapore,1/22/2020,34,0,0
35,20/03/2003,,Slovenia,1/22/2020,1,0,0
36,20/03/2003,,Spain,1/22/2020,1,0,0
37,20/03/2003,,Switzerland,1/22/2020,7,0,0
38,20/03/2003,,"Taiwan, China",1/22/2020,4,0,0
39,20/03/2003,,Thailand,1/22/2020,1,0,0
40,20/03/2003,,United Kingdom,1/22/2020,2,0,0
41,20/03/2003,,United States,1/22/2020,11,0,0
42,20/03/2003,,Viet Nam,1/22/2020,62,2,0
43,21/03/2003,,Canada,1/22/2020,9,2,0
44,21/03/2003,,China,1/22/2020,0,0,0
45,21/03/2003,,Germany,1/22/2020,1,0,0
